sim_id is_study_rep study_rep sim_rep run_time is_study is_fire_output is_dynamics is_metapop is_metapop_full is_metapop_dynamics is_metapop_pops is_recol_rescue is_plants_pop is_dispersal scenario_file param1 val1 param2 val2 param3 val3
86 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_2.csv birds_prop 0 wind_prop 0.01
87 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_3.csv birds_prop 0 wind_prop 0.01
88 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_4.csv birds_prop 0 wind_prop 0.01
89 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_0.csv birds_prop 0.01 wind_prop 0.01
90 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_2.csv birds_prop 0.01 wind_prop 0.01
91 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_3.csv birds_prop 0.01 wind_prop 0.01
92 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_4.csv birds_prop 0.01 wind_prop 0.01
93 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_0.csv birds_prop 0.02 wind_prop 0.01
94 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_2.csv birds_prop 0.02 wind_prop 0.01
95 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_3.csv birds_prop 0.02 wind_prop 0.01
96 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_4.csv birds_prop 0.02 wind_prop 0.01
